Plot,RGR,survived,WD,SLA,DBH,sp
1,0.0178741585640392,0,0.80000511,6.3800396,16.3097633879038,Quercus_oleoides
1,0.0282889480739934,1,0.74366273,7.4861881,10.5443802947991,Rehdera_trinervis
1,0.00867781672538381,1,0.18248994,11.2485639,24.8693718615015,Cochlospermum_vitifolium
1,0.0149506405374469,1,0.0,0.0,17.6250140874802,Maytenus_segoviarum
1,0.00717708721842936,0,0.18248994,11.2485639,18.6673267815648,Cochlospermum_vitifolium
1,0.0197606240750186,0,0.58222739,12.1402741,0.0,Sebastiania_pavoniana
1,0.00282238965704806,0,0.74366273,7.4861881,24.4798169107334,Rehdera_trinervis
1,0.00444899148344735,1,0.43768805,8.26675558,17.5185957804726,Bursera_tomentosa
1,0.00863809769810997,1,0.67323866,7.35424053,14.7376169164906,Luehea_speciosa
1,0.0291897281303335,1,0.69111815,8.05778656,0.0,Diospyros_nicaraguensis
1,0.0344956017146494,0,0.18248994,11.2485639,24.721966209238,Cochlospermum_vitifolium
1,0.0278859505437001,1,0.58222739,12.1402741,11.0094253843311,Sebastiania_pavoniana
1,0.0748477790146125,1,0.43768805,8.26675558,14.939904262706,Bursera_tomentosa
1,0.0338295061747065,0,0.43768805,8.26675558,0.0,Bursera_tomentosa
1,0.00148236517240097,0,0.74366273,7.4861881,25.2555746636451,Rehdera_trinervis
1,0.00772564958902189,1,0.43768805,8.26675558,15.4289972016944,Bursera_tomentosa
1,0.0103646861913735,1,0.43768805,8.26675558,20.7129239659878,Bursera_tomentosa
1,0.0132069512706399,1,0.67323866,7.35424053,10.8758112757413,Luehea_speciosa
1,0.00072501901930222,0,0.18248994,11.2485639,32.7260253670596,Cochlospermum_vitifolium
1,0.00244009249764376,0,0.43768805,8.26675558,18.4969324280712,Bursera_tomentosa
1,0.00882833525012172,1,0.69111815,8.05778656,17.3299211293013,Diospyros_nicaraguensis
1,0.012312571730543,0,0.18248994,11.2485639,14.6729464867657,Cochlospermum_vitifolium
1,0.00304381862373582,1,0.43768805,8.26675558,18.7635605857602,Bursera_tomentosa
1,0.011856905223544,0,0.43768805,8.26675558,19.0668450760986,Bursera_tomentosa
1,0.00646091390846815,0,0.52781326,7.25343208,28.5,Ficus_ovalis
1,1.52547601355302e-05,1,0.43768805,8.26675558,20.6391521160006,Bursera_tomentosa
1,0.0189199538911393,1,0.69111815,8.05778656,10.1474281730414,Diospyros_nicaraguensis
1,0.00132536191575516,1,0.74366273,7.4861881,11.0206929696932,Rehdera_trinervis
1,0.00115830045021337,1,0.74366273,7.4861881,14.2988619810749,Rehdera_trinervis
1,0.00316228799677898,0,0.56383704,8.98205722,18.3420986027663,Machaerium_biovulatum
1,0.0177821112340872,0,0.18248994,11.2485639,0.0,Cochlospermum_vitifolium
1,0.000270640952422685,1,0.74366273,7.4861881,10.5611690209769,Rehdera_trinervis
1,0.0112594448569796,1,0.67323866,7.35424053,11.1718873385392,Luehea_speciosa
1,0.0194847262728191,1,0.74366273,7.4861881,13.4964000268667,Rehdera_trinervis
1,0.00956678537530697,1,0.74366273,7.4861881,15.9150169145715,Rehdera_trinervis
2,0.00272056958355771,0,0.18248994,11.2485639,13.3605042262441,Cochlospermum_vitifolium
2,0.00319934115864573,0,0.80000511,6.3800396,33.4629746617261,Quercus_oleoides
2,0.000836418957896434,0,0.80000511,6.3800396,23.0881183156433,Quercus_oleoides
2,0.0330054402069662,1,0.69223065,7.20018409,0.0,Ardisia_revoluta
2,0.00366935087838982,0,0.80000511,6.3800396,17.57,Quercus_oleoides
2,0.0163034848880068,0,0.43768805,8.26675558,12.298594366927,Bursera_tomentosa
2,0.00300800777024923,0,0.74366273,7.4861881,11.02,Rehdera_trinervis
2,0.0148817310090568,1,0.69223065,7.20018409,14.4387549354157,Ardisia_revoluta
2,0.00828246064614824,1,0.69223065,7.20018409,11.1976225706731,Ardisia_revoluta
2,0.0130848890895434,1,0.57194001,7.53518778,19.2235859336293,Zuelania_guidonia
2,0.027911491655654,1,0.57194001,7.53518778,13.8533211465727,Zuelania_guidonia
2,0.0114236538200787,0,0.67323866,7.35424053,11.3459690171388,Luehea_speciosa
2,0.0112934891569059,0,0.57194001,7.53518778,18.9629746617261,Zuelania_guidonia
2,0.0216087524881825,0,0.7263735,8.22539818,10.8157042300822,Genipa_americana
2,0.0277822442283435,1,0.18248994,11.2485639,11.6915972036135,Cochlospermum_vitifolium
2,0.00388682246741556,1,0.74366273,7.4861881,0.0,Rehdera_trinervis
